[2013-11-25 05:32:13,609][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 353456456 ha sido registrado correctamente. 
[2013-11-25 05:32:19,355][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:32:36,438][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:32:41,345][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:32:43,059][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:32:44,691][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:32:47,058][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:32:48,105][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:11,085][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:12,371][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:13,509][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:17,450][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:18,290][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:20,348][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] La persona con D.N.I.:89785 ya existe  
[2013-11-25 05:33:29,081][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] El employee 353456456 ya existe  
[2013-11-25 05:33:32,219][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] El employee 353456456 ya existe  
[2013-11-25 05:33:57,971][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] El employee 353456456 ya existe  
[2013-11-25 05:34:39,944][INFO] [sistema] [/rrhh/employee/delete/8.9bc6be404bcdfd1836e9ddec9461c5c6/][admin][127.0.0.1] Employee 353456456 ha sido eliminado correctamente. 
[2013-11-25 05:35:54,644][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 45435 ha sido registrado correctamente. 
[2013-11-25 05:36:41,509][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 34324 ha sido registrado correctamente. 
[2013-11-25 05:51:01,453][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 7684234 ha sido actualizado correctamente. 
[2013-11-25 05:54:59,519][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 45435 ha sido actualizado correctamente. 
[2013-11-25 05:55:08,283][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 45435 ha sido actualizado correctamente. 
[2013-11-25 05:55:39,937][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 45435 ha sido actualizado correctamente. 
[2013-11-25 05:57:28,569][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 45435 ha sido actualizado correctamente. 
[2013-11-25 06:00:59,460][ERROR] [sistema] [/rrhh/employee/choice/1/][admin][127.0.0.1] Acceso denegado. La llave de seguridad es incorrecta. 
[2013-11-25 06:03:26,470][ERROR] [sistema] [/rrhh/employee/choice/1/][admin][127.0.0.1] Acceso denegado. La llave de seguridad es incorrecta. 
[2013-11-25 06:04:21,125][ERROR] [sistema] [/rrhh/employee/choice/2.0583384af8be28f432166657d1c94949/][admin][127.0.0.1] Acceso denegado. La llave de seguridad es incorrecta. 
[2013-11-25 06:05:49,242][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 3 ha sido actualizado correctamente. 
[2013-11-25 06:14:42,996][INFO] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee 3 ha sido actualizado correctamente. 
[2013-11-25 06:32:46,108][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 06:32:47,813][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 06:33:18,434][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 06:33:22,530][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 06:33:27,885][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 06:33:32,678][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 06:41:11,753][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario admint ha sido registrado correctamente. 
[2013-11-25 06:42:24,813][ERROR] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario admint tiene permisos asignados. 
[2013-11-25 06:42:32,717][INFO] [sistema] [/sad/user/edit/6.4acc0ec7db6e6a0bae189b99f881e0c0/][admin][127.0.0.1] Usuario admint ha sido actualizado correctamente. 
[2013-11-25 06:42:35,993][INFO] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario admint ha sido eliminado correctamente. 
[2013-11-25 06:44:59,111][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario weqt ha sido registrado correctamente. 
[2013-11-25 06:45:09,068][INFO] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario weqt ha sido eliminado correctamente. 
[2013-11-25 06:52:18,812][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario werwer ha sido registrado correctamente. 
[2013-11-25 06:52:29,151][ERROR] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] 'User' object has no attribute 'user' 
[2013-11-25 06:54:11,585][ERROR] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1]  
[2013-11-25 06:55:09,447][INFO] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario werwer ha sido eliminado correctamente. 
[2013-11-25 06:56:52,196][WARNING] [sistema] [/sad/user/delete/1.6ef7b4f4d2d113a5144086c942bc1000/][admin][127.0.0.1] Lo sentimos, pero este usuario no se puede eliminar. 
[2013-11-25 06:57:27,987][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario ytytyu ha sido registrado correctamente. 
[2013-11-25 07:02:08,676][ERROR] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario no se encuentra en la base de datos. 
[2013-11-25 07:03:13,367][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario adasd ha sido registrado correctamente. 
[2013-11-25 07:09:00,213][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario 324234 ha sido registrado correctamente. 
[2013-11-25 07:09:09,503][INFO] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario 324234 ha sido eliminado correctamente. 
[2013-11-25 07:09:40,786][INFO] [sistema] [/rrhh/employee/delete/102.f6f8ad8a2e1984d1268d53683b18161d/][admin][127.0.0.1] Employee 00199 ha sido eliminado correctamente. 
[2013-11-25 07:39:57,017][ERROR] [sistema] [/sad/user/edit/1.3662b18c6bce10c08e3ee48849a84b71/][admin][127.0.0.1] sad_profile.person_id may not be NULL 
[2013-11-25 08:08:06,684][ERROR] [sistema] [/sad/user/edit/1.3662b18c6bce10c08e3ee48849a84b71/][admin][127.0.0.1] 'user' is an invalid keyword argument for this function 
[2013-11-25 08:09:29,770][INFO] [sistema] [/sad/user/edit/1.3662b18c6bce10c08e3ee48849a84b71/][admin][127.0.0.1] Usuario admin ha sido actualizado correctamente. 
[2013-11-25 08:22:03,608][ERROR] [sistema] [/sad/user/edit/1.3662b18c6bce10c08e3ee48849a84b71/][admin][127.0.0.1] Usuario no se encuentra en la base de datos. 'User' object has no attribute 'pofile' 
[2013-11-25 08:28:09,838][ERROR] [sistema] [/sad/user/edit/1.3662b18c6bce10c08e3ee48849a84b71/][admin][127.0.0.1] La persona con D.N.I.: ya existe  
[2013-11-25 08:29:37,609][INFO] [sistema] [/sad/user/edit/1.3662b18c6bce10c08e3ee48849a84b71/][admin][127.0.0.1] Usuario admin ha sido actualizado correctamente. 
[2013-11-25 08:32:30,453][ERROR] [sistema] [/sad/user/edit/2.27de249c5f4a23edeff6724a2a9076d5/][admin][127.0.0.1] Usuario no se encuentra en la base de datos.  
[2013-11-25 08:32:33,933][ERROR] [sistema] [/sad/user/edit/2.27de249c5f4a23edeff6724a2a9076d5/][admin][127.0.0.1] Usuario no se encuentra en la base de datos.  
